Приоритет,Сегмент,Компания,Instagram,Сайт,Телефон,Проблема (гипотеза),Оффер,Чек (сум),Статус,Источник,Заметка
A,Кафе,Кафе TASHKENT,@cafe.tashkent,нет,+998 95 837 55 00,Доставка по Ташкенту; меню не онлайн,СТАРТ,1190000,Не связывались,Поиск Instagram,ул. Янги Сергели 14А
B,Ресторан,ACAFE,@acafe_uzbekistan,нет,+998 99 111 0990,Ресторан 8:00-23:00; нужен QR-меню в зал,QR-меню,490000,Не связывались,Поиск Instagram,
B,Кофейня,Community,@community.tashkent,нет,+998 33 370 03 33,Сеть спешалти-кофеен; QR-меню на столы,QR-меню,490000,Не связывались,Поиск Instagram,Второй филиал +998 77 301 06 05
B,Кафе,BENEDICT,@benedict_cafe_tashkent,нет,+998 33 888 88 07,Два филиала; завтраки; меню в зале печатное,QR-меню,490000,Не связывались,Поиск Instagram,Нукусская 31/2 и Миробод 60
C,Кофейня,Caffelito Coffee,@caffelito.coffee,нет,,83 филиала — скорее всего своя система,-,0,Отложено,Поиск Instagram,Крупная сеть — низкая вероятность
B,Кофейня,Tary Coffee,@tary_coffee_tashkent,нет,,Нет онлайн-меню,QR-меню,490000,Не связывались,Поиск Instagram,
B,Ресторан,Resto,,нет,+998 55 514-11-11,Турецкая/паназиатская кухня; зал,QR-меню,490000,Не связывались,Поиск каталогов,ул. Матбуотчилар 1
B,Обеды,Быстрый ОБЕД,,нет,,Обеды 30-40k через Telegram-канал вручную,СТАРТ,790000,Не связывались,Telegram-канал,t.me/bistriyobed — комплексные обеды
C,Кондитерская,Lokko,,lokko.uz,+998 97 729-65-55,Сайт есть — нужен не сайт а приём заказов,Доп. услуга,0,Отложено,Поиск,Сайт уже есть — низкий приоритет
C,Кондитерская,IMPREZA,,impreza.uz,+998 97 715 04 30,Сайт есть,Доп. услуга,0,Отложено,Поиск,
C,Кондитерская,Natko,,natko.uz,,Сайт есть; 20+ лет на рынке,Доп. услуга,0,Отложено,Поиск,
C,Кондитерская,Leamor,,leamor.uz,+998 97 772-54-45,Сайт есть,Доп. услуга,0,Отложено,Поиск,
C,Кондитерская,Merenga,,merenga.uz,,Сайт есть,Доп. услуга,0,Отложено,Поиск,
C,Кондитерская,La Miranda,,lamiranda.uz,,Сайт есть; доставка 09:00-17:00,Доп. услуга,0,Отложено,Поиск,
C,Фастфуд,Maxway,,maxway.uz,,Крупная сеть со своим сайтом и приложением,-,0,Отложено,Поиск,Не наш клиент
